protein,casein,scc,conc_fed
4.19,3.17,32,2.5
3.76,2.89,52,0
3.82,2.9,24,0
4.99,3.96,58,3.5
3.92,3.02,138,0
3.65,2.6,206,0
5.4,4.14,90,3.5
4.84,3.74,15,2.5
4.97,3.91,35,3.5
4.68,3.57,66,2.5
3.91,2.94,41,2.5
4.37,3.41,75,2.5
4.89,3.75,133,0
4.12,3.18,65,0
3.69,2.68,16,0
3.94,3.05,33,0
3.97,3.07,20,0
4.84,3.76,78,0
4.62,3.6,191,0
4.36,3.37,63,0
3.91,2.98,8,0
4.97,3.87,13,0
4.64,3.5,23,0
3.69,2.65,30,0
4.36,3.34,197,0
3.82,2.77,154,0
4.24,3.26,55,0
4.46,3.35,87,0
4.13,3.19,139,0
2.99,1.95,65,0
4.4,3.42,290,0
4.12,3.03,1202,0
4.36,3.42,37,0
3.95,2.97,78,0
3.8,2.8,381,0
4.71,3.66,1114,0
4.23,3.24,59,0
4.74,3.67,71,2.5
4.13,3.23,121,0
4.99,3.85,206,0
3.48,2.55,144,0
5.01,3.89,88,1.5
4.27,3.29,59,0
4.27,3.3,43,3.5
4.78,3.76,13,2.5
3.36,2.34,203,0
4.25,3.3,32,3.5
4,3.07,146,0
4.28,3.29,54,0
2.85,1.81,134,0
4.69,3.59,45,3.5
5.03,3.73,237,3.5
4.29,3.29,52,2.5
4.45,3.42,72,2.5
4.06,3.1,28,0
4.36,3.29,36,3.5
4.67,3.66,75,0
4.17,3.22,84,0
3.48,2.38,41,0
3.54,2.59,67,0
5.18,4.06,93,0
4.55,3.53,73,0
4.08,3.09,104,0
4.36,3.34,75,3.5
4.86,3.76,76,0
4.87,3.78,62,0
4.61,3.59,22,0
4.66,3.63,33,0
4.39,3.44,56,0
4.71,3.57,434,0
4.47,3.52,17,0
3.59,2.66,107,0
3.96,2.95,82,1.5
6.1,4.79,123,1.5
5.14,3.99,77,3.5
4.38,3.38,16,1.5
5.32,4.19,87,1.5
5.34,4.12,306,1.5
4.51,3.55,31,0
4.17,3.27,54,0
5.38,4.16,257,1.5
5.03,3.72,713,0
4.11,3.13,269,1.5
4.89,3.8,112,1.5
3.55,2.77,20,1.5
4.09,3.09,61,3.5
4.6,3.47,173,1.5
4.11,3.13,82,2.5
4.76,3.64,19,1.5
3.91,3.02,190,3.5
4.81,3.68,283,3.5
4.65,3.57,22,2.5
4.95,3.82,82,3.5
5.28,4.09,307,1.5
4.33,3.38,220,1.5
4.93,3.83,73,1.5
4.33,3.31,75,1.5
4.55,3.39,696,3.5
4.07,3.12,24,3.5
3.88,2.97,30,3.5
4.57,3.44,144,0
4.65,3.54,53,2.5
3.94,3.07,16,3.5
4.57,3.57,17,2.5
4.08,3.16,18,3.5
4.57,3.52,27,2.5
4.13,3.18,85,3.5
4.01,3.06,153,2.5
4.71,3.61,48,2.5
3.72,2.86,14,0
4.17,3.22,38,2.5
3.95,3.03,30,3.5
4.51,3.47,175,0
4.88,3.83,430,0
4.95,3.81,472,2.5
4.32,3.34,21,0
4.59,3.56,53,0
4.37,3.41,102,2.5
4.65,3.59,106,1.5
4.25,3.25,113,3.5
